Perturbation,gene,dot_product,pearson_correlation,spearman_correlation,perturbation_direction,raw_rank,cluster_mean_score,refined_score,refined_rank
TCF7_Gain,TCF7,0.017246831430811467,0.7946437867028004,0.8549499443826476,gain,1.0,0.12975433783927867,0.7281548418164483,1.0
ARID1A_Loss,ARID1A,0.0073808833312913845,0.7070494563606543,0.7615127919911013,loss,2.0,0.3020985093413387,0.6665543616587227,2.0
WT1_Gain,WT1,0.03439987230277523,0.7030544033893313,0.6618464961067855,gain,3.0,0.3020985093413387,0.662958813984532,3.0
PIK3AP1_Gain,PIK3AP1,0.015714178448530573,0.6604381218000238,0.5546162402669634,gain,5.0,0.3020985093413387,0.6246041605541554,4.0
TNFRSF9_Gain,TNFRSF9,0.015175938706527175,0.6515224222661633,0.6222469410456064,gain,6.0,0.3020985093413387,0.6165800309736809,5.0
IL2RB_Gain,IL2RB,0.01083100127478142,0.6679110722965437,0.6364849833147943,gain,4.0,0.12975433783927867,0.6140953988508172,6.0
AKAP12_Gain,AKAP12,0.022558636871246235,0.645636351163226,0.6609566184649612,gain,7.0,0.3020985093413387,0.6112825669810373,7.0
BTLA_Loss,BTLA,0.005849225679785507,0.6394549854786971,0.6436040044493884,loss,8.0,0.3020985093413387,0.6057193378649612,8.0
IL7R_Gain,IL7R,0.01790802787004736,0.6290722660835677,0.5804226918798666,gain,9.0,0.3020985093413387,0.5963748904093448,9.0
LTBR_Gain,LTBR,0.05209653019518697,0.6263107541258882,0.5083426028921024,gain,10.0,0.3020985093413387,0.5938895296474332,10.0
PRDM13_Gain,PRDM13,0.02035369347694174,0.6193793961630903,0.5457174638487209,gain,11.0,0.3020985093413387,0.5876513074809152,11.0
FOXL2NB_Gain,FOXL2NB,0.06488722272126451,0.6145014639890415,0.6965517241379312,gain,12.0,0.3020985093413387,0.5832611685242712,12.0
TAGAP_Gain,TAGAP,0.03422626031876678,0.6081730130346914,0.5501668520578421,gain,13.0,0.3020985093413387,0.5775655626653562,13.0
CD27_Gain,CD27,0.043760394194269886,0.5982630154387543,0.4629588431590657,gain,14.0,0.3020985093413387,0.5686465648290128,14.0
NOTCH1_Gain,NOTCH1,0.02062429465478459,0.5903773446795769,0.5666295884315907,gain,15.0,0.3020985093413387,0.5615494611457531,15.0
NLRC3_Gain,NLRC3,0.020274939467449626,0.5881254853277532,0.49588431590656296,gain,16.0,0.3020985093413387,0.5595227877291118,16.0
EMP3_Gain,EMP3,0.010196783607934527,0.5521465476444877,0.5038932146829812,gain,17.0,0.3020985093413387,0.5271417438141728,17.0
TNFRSF12A_Gain,TNFRSF12A,0.016733508501112344,0.5490088856177547,0.47096774193548396,gain,18.0,0.3020985093413387,0.5243178479901132,18.0
TNFRSF1B_Gain,TNFRSF1B,0.05038902339306776,0.5397326489302575,0.46696329254727487,gain,19.0,0.3020985093413387,0.5159692349713656,19.0
LCP2_Gain,LCP2,0.023976678698484112,0.5345298965592712,0.47942157953281433,gain,20.0,0.3020985093413387,0.511286757837478,20.0
PRKD2_Gain,PRKD2,0.007453290147577925,0.5273403028308457,0.38197997775305903,gain,21.0,0.3020985093413387,0.504816123481895,21.0
C10orf54_Loss,C10orf54,0.0019797130302956377,0.5038915185238038,0.5003337041156842,loss,22.0,0.3020985093413387,0.48371221760555727,22.0
LAT_Gain,LAT,0.016005671853449668,0.5002771960318058,0.4304783092324806,gain,24.0,0.3020985093413387,0.48045932736275904,23.0
EMP1_Gain,EMP1,0.013903105666274342,0.48556441169675413,0.36017797552836495,gain,25.0,0.3020985093413387,0.4672178214612126,24.0
DEPDC7_Gain,DEPDC7,0.02305997731093593,0.48518677123011505,0.4171301446051169,gain,26.0,0.3020985093413387,0.4668779450412374,25.0
CDK1_Gain,CDK1,0.01667023482703733,0.5018201193166777,0.563959955506118,gain,23.0,0.12975433783927867,0.46461354116893777,26.0
TNFRSF1A_Gain,TNFRSF1A,0.04437607905576457,0.479571757371691,0.43670745272525036,gain,27.0,0.3020985093413387,0.4618244325686558,27.0
NFYB_Gain,NFYB,0.01759362067751521,0.4788958454720439,0.5724137931034484,gain,28.0,0.3020985093413387,0.4612161118589734,28.0
CD2_Gain,CD2,0.010055931464328646,0.4740123606136028,0.36017797552836495,gain,29.0,0.3020985093413387,0.4568209754863764,29.0
TNFRSF10B_Gain,TNFRSF10B,0.004592384526397533,0.4517027810184481,0.4011123470522804,gain,30.0,0.3020985093413387,0.4367423538507371,30.0
OTUD7A_Gain,OTUD7A,0.009663434926616485,0.4514085534728386,0.33036707452725256,gain,31.0,0.3020985093413387,0.4364775490596886,31.0
DEF6_Gain,DEF6,0.015150077362136166,0.43306014084494604,0.38776418242491667,gain,33.0,0.3020985093413387,0.4199639776945853,32.0
ATF6B_Gain,ATF6B,0.007636765164587753,0.43368385683722566,0.4749721913236931,gain,32.0,0.12975433783927867,0.40329090493743097,33.0
IL10RA_Gain,IL10RA,0.008879805831685735,0.4278082470301938,0.37174638487208017,gain,34.0,0.12975433783927867,0.3980028561111023,34.0
IL9R_Gain,IL9R,0.008079199497710283,0.4026656177356692,0.3761957730812014,gain,36.0,0.3020985093413387,0.3926089068962362,35.0
HELZ2_Gain,HELZ2,0.019422628572698594,0.3998264299019399,0.30678531701891,gain,37.0,0.3020985093413387,0.39005363784587976,36.0
MRPL18_Gain,MRPL18,0.010196665441522954,0.4158701333241153,0.45761957730812025,gain,35.0,0.12975433783927867,0.3872585537756316,37.0
CD28_Gain,CD28,0.019160495807947642,0.3917308889989456,0.36418242491657404,gain,38.0,0.3020985093413387,0.3827676510331849,38.0
IFNL2_Gain,IFNL2,0.0071091839288431,0.36952492994665603,0.3815350389321469,gain,39.0,0.12975433783927867,0.3455478707359183,39.0
VAV1_Gain,VAV1,0.026367084619478745,0.3384882354015963,0.3072302558398221,gain,42.0,0.3020985093413387,0.33484926279557053,40.0
BATF_Gain,BATF,0.006767026947593758,0.3475255297322522,0.3988876529477198,gain,40.0,0.12975433783927867,0.32574841054295484,41.0
CALML3_Gain,CALML3,0.003768563850461983,0.34324027556755804,0.3521690767519467,gain,41.0,0.12975433783927867,0.3218916817947301,42.0
FOSB_Gain,FOSB,0.02186354016850757,0.32382643993449384,0.35928809788654065,gain,43.0,0.12975433783927867,0.3044192297249723,43.0
HAVCR2_Loss,HAVCR2,0.0021110065143558313,0.30816115491296386,0.3317018909899889,loss,44.0,0.12975433783927867,0.29032047320559534,44.0
AHCY_Gain,AHCY,0.004718168339542768,0.29766074225326156,0.3793103448275863,gain,45.0,0.12975433783927867,0.2808701018118633,45.0
MGST3_Gain,MGST3,0.005967260268678163,0.2653507578908672,-0.02958843159065629,gain,50.0,0.3020985093413387,0.26902553303591437,46.0
RELA_Gain,RELA,0.016441304477247808,0.2789011016857348,0.2952169076751947,gain,46.0,0.12975433783927867,0.2639864253010892,47.0
CD5_Loss,CD5,0.002693610776279376,0.25931137992518927,0.2880978865406007,loss,51.0,0.3020985093413387,0.26359009286680424,48.0
STAT6_Loss,STAT6,0.001323876003775434,0.25285468278098433,0.12969966629588434,loss,52.0,0.3020985093413387,0.2577790654370198,49.0
TIGIT_Gain,TIGIT,0.004094239596100121,0.270582523686228,0.21468298109010014,gain,48.0,0.12975433783927867,0.256499705101533,50.0
OTUD7B_Gain,OTUD7B,0.007665425846986351,0.24526898882174197,0.17374860956618468,gain,54.0,0.3020985093413387,0.25095194087370165,51.0
BICDL2_Gain,BICDL2,0.007720381114720924,0.24016413638117126,0.14304783092324808,gain,56.0,0.3020985093413387,0.246357573677188,52.0
CDKN1B_Loss,CDKN1B,0.002533744709660286,0.23973476094225366,0.22491657397107903,loss,58.0,0.3020985093413387,0.24597113578216215,53.0
NO_Gain,NO,0.010593260999144368,0.23658922919190645,0.089210233592881,gain,59.0,0.3020985093413387,0.24314015720684967,54.0
CBY1_Gain,CBY1,0.003996892148904853,0.2310562306185967,0.0696329254727475,gain,62.0,0.3020985093413387,0.2381604584908709,55.0
CNR2_Gain,CNR2,0.005492384518031349,0.2477503674249051,0.3134593993325918,gain,53.0,0.12975433783927867,0.23595076446634247,56.0
GPD1_Gain,GPD1,0.003958184445989049,0.24194933302091035,0.23426028921023365,gain,55.0,0.12975433783927867,0.2307298335027472,57.0
IL1R1_Gain,IL1R1,0.011273888045358546,0.24005180434173773,0.24182424916573975,gain,57.0,0.12975433783927867,0.22902205769149184,58.0
IL12B_Gain,IL12B,0.005518685699918669,0.23556567001711062,0.17241379310344832,gain,60.0,0.12975433783927867,0.22498453679932745,59.0
RASA2_Loss,RASA2,0.0038583795983260605,0.23415293099853424,0.25294771968854285,loss,61.0,0.12975433783927867,0.2237130716826087,60.0
LHX4_Gain,LHX4,0.014111618679264498,0.21353565673383068,0.17285873192436044,gain,63.0,0.3020985093413387,0.22239194199458148,61.0
FOSL1_Gain,FOSL1,0.004943257258196173,0.20133534038103654,0.16796440489432707,gain,66.0,0.3020985093413387,0.21141165727706676,62.0
PDCD1_Gain,PDCD1,0.008232481601522294,0.2683957490575501,0.1777530589543938,gain,49.0,-0.346608171876487,0.2068953569641464,63.0
AKR1C4_Gain,AKR1C4,0.006628199744213241,0.20449404470965188,0.2685205784204672,gain,64.0,0.12975433783927867,0.19702007402261457,64.0
ABCB10_Gain,ABCB10,0.0056100026541189285,0.20388035235326285,0.2137931034482759,gain,65.0,0.12975433783927867,0.19646775090186444,65.0
FOXQ1_Gain,FOXQ1,0.0053210563663172,0.17651624136619348,0.1448275862068966,gain,68.0,0.3020985093413387,0.18907446816370801,66.0
FOXD2_Gain,FOXD2,0.006077761813290368,0.1923547413538798,0.15194660734149057,gain,67.0,0.12975433783927867,0.1860947010024197,67.0
PLCG2_Gain,PLCG2,0.005850193277403083,0.172770914362094,0.14571746384872084,gain,72.0,0.3020985093413387,0.18570367386001846,68.0
RAC2_Gain,RAC2,0.003379501984692836,0.1717258404758644,0.06829810901001114,gain,73.0,0.3020985093413387,0.18476310736241183,69.0
AHNAK_Gain,AHNAK,0.002505551967081822,0.1762173100423032,0.3365962180200223,gain,69.0,0.12975433783927867,0.17157101282200077,70.0
CRLF2_Gain,CRLF2,0.002606548669510622,0.17313417694241423,0.2026696329254728,gain,70.0,0.12975433783927867,0.1687961930321007,71.0
TGFBR2_Gain,TGFBR2,0.001712054930627363,0.17291041667070814,0.19466073414905455,gain,71.0,0.12975433783927867,0.1685948087875652,72.0
ITM2A_Gain,ITM2A,0.002060673433617867,0.1715151142822411,0.18353726362625142,gain,74.0,0.12975433783927867,0.16733903663794486,73.0
FAS_Gain,FAS,0.0014505227091051376,0.11918255623470785,0.1288097886540601,gain,75.0,0.12975433783927867,0.12023973439516493,74.0
DUPD1_Gain,DUPD1,0.0008321671720986042,0.09628992563111748,0.15105672969966633,gain,76.0,0.12975433783927867,0.0996363668519336,75.0
TRAF3IP2_Gain,TRAF3IP2,0.00517368851445996,0.09534509668810975,0.13904338153503895,gain,77.0,0.12975433783927867,0.09878602080322664,76.0
BTLA_Gain,BTLA,0.0027507531801934893,0.09404484966684529,0.0460511679644049,gain,78.0,0.12975433783927867,0.09761579848408862,77.0
CD247_Gain,CD247,0.006513610080786367,0.07285113831923587,0.08476084538375975,gain,80.0,0.3020985093413387,0.09577587542144615,78.0
IKZF3_Gain,IKZF3,0.00437666326273093,0.08962372804883817,0.08743047830923249,gain,79.0,0.12975433783927867,0.09363678902788222,79.0
TNFRSF9_Loss,TNFRSF9,0.00024313165791352076,0.06991464927601843,0.09232480533926588,loss,81.0,0.3020985093413387,0.09313303528255044,80.0
SOCS1_Loss,SOCS1,0.0009497980297485529,0.05446955538126305,0.06918798665183538,loss,82.0,0.12975433783927867,0.061998033627064617,81.0
CCR10_Gain,CCR10,0.0018484685568270127,0.05016654801306307,-0.03225806451612904,gain,83.0,0.12975433783927867,0.05812532699568462,82.0
ZNF830_Gain,ZNF830,0.0006309579169742543,0.02428924999788266,-0.07230255839822027,gain,85.0,0.3020985093413387,0.05207017593222826,83.0
