Perturbation,rank,gene,score,raw_score,hub_penalty,is_transcription_factor
0,1,KDM2A,3.7177767753601074,3.7177767753601074,0.0,True
1,2,ZNF217,3.711961507797241,3.711961507797241,0.0,True
2,3,MPPED2,3.611234188079834,3.611234188079834,0.0,False
3,4,PMAIP1,3.5974323749542236,3.5974323749542236,0.0,False
4,5,TLE4,3.5877885818481445,3.5877885818481445,0.0,False
5,6,IRF5,3.584648609161377,3.584648609161377,0.0,True
6,7,THBS1,3.5670576095581055,3.5670576095581055,0.0,False
7,8,EHMT2,3.537705898284912,3.537705898284912,0.0,False
8,9,HDAC7,3.5229685306549072,3.5229685306549072,0.0,False
9,10,HLA-B,3.516301155090332,3.516301155090332,0.0,False
10,11,KDM4B,3.4928226470947266,3.4928226470947266,0.0,False
11,12,PRDM1,3.4751620292663574,3.4751620292663574,0.0,True
12,13,STAT2,3.469269037246704,3.469269037246704,0.0,True
13,14,BBC3,3.4657158851623535,3.4657158851623535,0.0,False
14,15,IRF9,3.462531328201294,3.462531328201294,0.0,True
15,16,BATF,3.4376325607299805,3.4376325607299805,0.0,True
16,17,CTBP2,3.3808984756469727,3.3808984756469727,0.0,False
17,18,BCL2L11,3.3738553524017334,3.3738553524017334,0.0,False
18,19,KDM4C,3.364588737487793,3.364588737487793,0.0,False
19,20,CXCR5,3.3477563858032227,3.3477563858032227,0.0,False
20,21,IL5,3.3441466614603996,3.4168739318847656,0.036363635212183,False
21,22,CDKN2B,3.306180000305176,3.306180000305176,0.0,False
22,23,TLE3,3.294694423675537,3.294694423675537,0.0,False
23,24,HLA-C,3.276304244995117,3.276304244995117,0.0,False
24,25,CSN2,3.2472715377807617,3.2472715377807617,0.0,False
25,26,TCF20,3.231426239013672,3.231426239013672,0.0,True
26,27,BCL11A,3.1991496086120605,3.1991496086120605,0.0,True
27,28,HLA-F,3.191699266433716,3.191699266433716,0.0,False
28,29,CCL28,3.184701442718506,3.184701442718506,0.0,False
29,30,IRF1,3.1755045503377914,3.3209590911865234,0.072727270424366,True
30,31,SATB1,3.1642422676086426,3.1642422676086426,0.0,True
31,32,GADD45A,3.1611483097076416,3.1611483097076416,0.0,False
32,33,SLC2A1,3.1529459953308105,3.1529459953308105,0.0,False
33,34,BCL6,3.1347579956054688,3.1347579956054688,0.0,True
34,35,RETN,3.124945640563965,3.124945640563965,0.0,False
35,36,ZNF91,3.0995912551879883,3.0995912551879883,0.0,True
36,37,IL10,3.081843137741089,3.081843137741089,0.0,False
37,38,DCDC1,3.0759637355804443,3.0759637355804443,0.0,False
38,39,NR4A3,3.0706286430358887,3.0706286430358887,0.0,True
39,40,PPIP5K2,3.0656368732452393,3.0656368732452393,0.0,False
40,41,MCL1,3.061959981918335,3.061959981918335,0.0,False
41,42,FOSL2,3.056880235671997,3.056880235671997,0.0,True
42,43,SAMHD1,3.0359771251678467,3.0359771251678467,0.0,False
43,44,IRF7,2.9875965118408203,2.9875965118408203,0.0,True
44,45,TRERF1,2.978797197341919,2.978797197341919,0.0,True
45,46,GCSAM,2.962186336517334,2.962186336517334,0.0,False
46,47,MBD2,2.9613699913024902,2.9613699913024902,0.0,True
47,48,IL4,2.9589800238609314,3.522616386413574,0.2818181812763214,False
48,49,NLRP12,2.951367139816284,2.951367139816284,0.0,False
49,50,NLK,2.9509334564208984,2.9509334564208984,0.0,False
50,51,CITED2,2.9489526748657227,2.9489526748657227,0.0,False
51,52,VCAM1,2.9426777362823486,2.9426777362823486,0.0,False
52,53,ATL1-gamma,2.934680461883545,2.934680461883545,0.0,False
53,54,ICOS,2.932628870010376,2.932628870010376,0.0,False
54,55,HLA-A,2.9288838505744934,3.6016111373901367,0.33636364340782166,False
55,56,MTA1,2.924818992614746,2.924818992614746,0.0,False
56,57,HLA-G,2.9223792552948,2.9223792552948,0.0,False
57,58,ZBTB17,2.920706272125244,2.920706272125244,0.0,True
58,59,TP73,2.9062743186950684,2.9062743186950684,0.0,True
59,60,PTPRJ,2.8940210342407227,2.8940210342407227,0.0,False
60,61,BACH2,2.8768885135650635,2.8768885135650635,0.0,True
61,62,IRF3,2.859250068664551,2.859250068664551,0.0,True
62,63,IL2,2.8537070229649544,2.908252477645874,0.027272727340459824,False
63,64,CSF3R,2.8508408069610596,2.8508408069610596,0.0,False
64,65,CSF3,2.8488032817840576,2.8488032817840576,0.0,False
65,66,CD68,2.8406598567962646,2.8406598567962646,0.0,False
66,67,CCR4,2.816680431365967,2.816680431365967,0.0,False
67,68,DIO2,2.8016436100006104,2.8016436100006104,0.0,False
68,69,PLAU,2.78521990776062,2.78521990776062,0.0,False
69,70,LIMD2,2.783888101577759,2.783888101577759,0.0,False
70,71,GGCT,2.7730000019073486,2.7730000019073486,0.0,False
71,72,KLK10,2.7670211791992188,2.7670211791992188,0.0,False
72,73,TRIM63,2.756389617919922,2.756389617919922,0.0,False
73,74,IP6K1,2.7559661865234375,2.7559661865234375,0.0,False
74,75,CTSG,2.752349615097046,2.752349615097046,0.0,False
75,76,IRF8,2.7410760521888733,3.6501669883728027,0.4545454680919647,True
76,77,IL13,2.7345499992370605,2.7345499992370605,0.0,False
77,78,CD200,2.7301769256591797,2.7301769256591797,0.0,False
78,79,DUSP1,2.7187771797180176,2.7187771797180176,0.0,False
79,80,CD8A,2.7051260471343994,2.7051260471343994,0.0,False
80,81,FOSL1,2.704930067062378,2.704930067062378,0.0,True
81,82,GTF2I,2.6994667053222656,2.6994667053222656,0.0,True
82,83,BCL2A1,2.6888959407806396,2.6888959407806396,0.0,False
83,84,IKZF1,2.673240900039673,3.709604501724243,0.5181818008422852,True
84,85,CSF2RB,2.672170400619507,2.672170400619507,0.0,False
85,86,IL7,2.669188976287842,2.669188976287842,0.0,False
86,87,GZMB,2.6635355949401855,2.6635355949401855,0.0,False
87,88,IL9,2.637465000152588,2.637465000152588,0.0,False
88,89,MAP2K5,2.635211229324341,2.635211229324341,0.0,False
89,90,JUNB,2.6269678473472595,2.936058759689331,0.15454545617103577,True
90,91,CD53,2.6210594177246094,2.6210594177246094,0.0,False
91,92,MRC1,2.6014552116394043,2.6014552116394043,0.0,False
92,93,ZNF287,2.595402479171753,2.595402479171753,0.0,True
93,94,HPGDS,2.5937113761901855,2.5937113761901855,0.0,False
94,95,KLRG1,2.5916504859924316,2.5916504859924316,0.0,False
95,96,FYB,2.5831079483032227,2.5831079483032227,0.0,False
96,97,PAG1,2.581764919683337,2.5999467372894287,0.00909090880304575,False
97,98,FBXO32,2.579296588897705,2.579296588897705,0.0,False
98,99,DKK1,2.5768961906433105,2.5768961906433105,0.0,False
99,100,PIGR,2.5768465995788574,2.5768465995788574,0.0,False
100,101,STAT6,2.5741891860961914,2.5741891860961914,0.0,True
101,102,TGFB1,2.5703794956207275,2.5703794956207275,0.0,False
102,103,ERBIN,2.566760540008545,2.566760540008545,0.0,False
103,104,CDO1,2.566760540008545,2.566760540008545,0.0,False
104,105,TFF1,2.5619726181030273,2.5619726181030273,0.0,False
105,106,IRS2,2.537989377975464,2.537989377975464,0.0,False
106,107,IL17A,2.5374016761779785,2.5374016761779785,0.0,False
107,108,CYBB,2.5357112884521484,2.5357112884521484,0.0,False
108,109,IL18,2.532229423522949,2.532229423522949,0.0,False
109,110,SLAMF1,2.53145170211792,2.53145170211792,0.0,False
110,111,PRDX1,2.5313215255737305,2.5313215255737305,0.0,False
111,112,CD48,2.5236053466796875,2.5236053466796875,0.0,False
112,113,ITGAX,2.515618085861206,2.515618085861206,0.0,False
113,114,ATF2,2.5155954360961914,2.5155954360961914,0.0,True
114,115,CD4,2.5096893310546875,2.5096893310546875,0.0,False
115,116,KCNC1,2.5086090564727783,2.5086090564727783,0.0,False
116,117,CD69,2.5060932636260986,2.5060932636260986,0.0,False
117,118,TP53I11,2.503303050994873,2.503303050994873,0.0,False
118,119,CTLA4,2.495694160461426,2.495694160461426,0.0,False
119,120,PECAM1,2.4952714443206787,2.4952714443206787,0.0,False
120,121,FASLG,2.488036870956421,2.488036870956421,0.0,False
121,122,BASP1,2.486356496810913,2.486356496810913,0.0,False
122,123,MMP1,2.484175682067871,2.484175682067871,0.0,False
123,124,PPIP5K1,2.4840378761291504,2.4840378761291504,0.0,False
124,125,ITGAM,2.481994390487671,2.481994390487671,0.0,False
125,126,MTA3,2.478163242340088,2.478163242340088,0.0,False
126,127,BCL2L1,2.477907180786133,2.477907180786133,0.0,False
127,128,INPP5D,2.4749171566218138,2.4930989742279053,0.00909090880304575,False
128,129,KLRK1,2.474088430404663,2.474088430404663,0.0,False
129,130,TFCP2,2.4679107666015625,2.4679107666015625,0.0,True
130,131,ZNF512B,2.459873676300049,2.459873676300049,0.0,True
131,132,SELL,2.45760178565979,2.45760178565979,0.0,False
132,133,E2F5,2.456613540649414,2.456613540649414,0.0,True
133,134,TJP2,2.4559006690979004,2.4559006690979004,0.0,False
134,135,NR3C2,2.4527392387390137,2.4527392387390137,0.0,True
135,136,BCL2,2.452540636062622,2.452540636062622,0.0,False
136,137,RAB3IL1,2.448847770690918,2.448847770690918,0.0,False
137,138,SFTPD,2.4434616565704346,2.4434616565704346,0.0,False
138,139,CD274,2.442885398864746,2.442885398864746,0.0,False
139,140,CD8B,2.4399478435516357,2.4399478435516357,0.0,False
140,141,PIN1P1,2.439074993133545,2.439074993133545,0.0,False
141,142,ZIC5,2.435695171356201,2.435695171356201,0.0,True
142,143,CLEC4A,2.4350380897521973,2.4350380897521973,0.0,False
143,144,FGF2,2.434293270111084,2.434293270111084,0.0,False
144,145,PENK,2.4320962261408567,2.4502780437469482,0.00909090880304575,False
145,146,CFTR,2.430178642272949,2.430178642272949,0.0,False
146,147,DUSP6,2.4297335147857666,2.4297335147857666,0.0,False
147,148,JAK3,2.427469253540039,2.427469253540039,0.0,False
148,149,BID,2.4222593307495117,2.4222593307495117,0.0,False
