Perturbation,tf_rank,rank,gene,score,raw_score,hub_penalty,is_transcription_factor
0,1,1,KDM2A,3.7177767753601074,3.7177767753601074,0.0,True
1,2,2,ZNF217,3.711961507797241,3.711961507797241,0.0,True
2,3,6,IRF5,3.584648609161377,3.584648609161377,0.0,True
3,4,12,PRDM1,3.4751620292663574,3.4751620292663574,0.0,True
4,5,13,STAT2,3.469269037246704,3.469269037246704,0.0,True
5,6,15,IRF9,3.462531328201294,3.462531328201294,0.0,True
6,7,16,BATF,3.4376325607299805,3.4376325607299805,0.0,True
7,8,26,TCF20,3.231426239013672,3.231426239013672,0.0,True
8,9,27,BCL11A,3.1991496086120605,3.1991496086120605,0.0,True
9,10,30,IRF1,3.1755045503377914,3.3209590911865234,0.072727270424366,True
10,11,31,SATB1,3.1642422676086426,3.1642422676086426,0.0,True
11,12,34,BCL6,3.1347579956054688,3.1347579956054688,0.0,True
12,13,36,ZNF91,3.0995912551879883,3.0995912551879883,0.0,True
13,14,39,NR4A3,3.0706286430358887,3.0706286430358887,0.0,True
14,15,42,FOSL2,3.056880235671997,3.056880235671997,0.0,True
15,16,44,IRF7,2.9875965118408203,2.9875965118408203,0.0,True
16,17,45,TRERF1,2.978797197341919,2.978797197341919,0.0,True
17,18,47,MBD2,2.9613699913024902,2.9613699913024902,0.0,True
18,19,58,ZBTB17,2.920706272125244,2.920706272125244,0.0,True
19,20,59,TP73,2.9062743186950684,2.9062743186950684,0.0,True
20,21,61,BACH2,2.8768885135650635,2.8768885135650635,0.0,True
21,22,62,IRF3,2.859250068664551,2.859250068664551,0.0,True
22,23,76,IRF8,2.7410760521888733,3.6501669883728027,0.4545454680919647,True
23,24,81,FOSL1,2.704930067062378,2.704930067062378,0.0,True
24,25,82,GTF2I,2.6994667053222656,2.6994667053222656,0.0,True
25,26,84,IKZF1,2.673240900039673,3.709604501724243,0.5181818008422852,True
26,27,90,JUNB,2.6269678473472595,2.936058759689331,0.15454545617103577,True
27,28,93,ZNF287,2.595402479171753,2.595402479171753,0.0,True
28,29,101,STAT6,2.5741891860961914,2.5741891860961914,0.0,True
29,30,114,ATF2,2.5155954360961914,2.5155954360961914,0.0,True
30,31,130,TFCP2,2.4679107666015625,2.4679107666015625,0.0,True
31,32,131,ZNF512B,2.459873676300049,2.459873676300049,0.0,True
32,33,133,E2F5,2.456613540649414,2.456613540649414,0.0,True
33,34,135,NR3C2,2.4527392387390137,2.4527392387390137,0.0,True
34,35,142,ZIC5,2.435695171356201,2.435695171356201,0.0,True
35,36,153,STAT5B,2.4093356281518936,2.6456992626190186,0.11818181723356247,True
36,37,159,DDIT3,2.3914077281951904,2.3914077281951904,0.0,True
37,38,162,STAT3,2.3852968215942383,2.3852968215942383,0.0,True
38,39,163,GATA1,2.3796763252466917,2.397858142852783,0.00909090880304575,True
39,40,167,NFATC4,2.3497490882873535,2.3497490882873535,0.0,True
40,41,171,IKZF5,2.344034433364868,2.344034433364868,0.0,True
41,42,173,FOXO3,2.3425710201263428,2.3425710201263428,0.0,True
42,43,190,NFE2L3,2.2961559295654297,2.2961559295654297,0.0,True
43,44,193,PLAGL1,2.2931013107299805,2.2931013107299805,0.0,True
44,45,204,NKX2-1,2.2601475715637207,2.2601475715637207,0.0,True
45,46,210,GATA4,2.2409825325012207,2.2409825325012207,0.0,True
46,47,211,FOXP3,2.2344096899032593,2.8525915145874023,0.30909091234207153,True
47,48,249,RUNX3,2.1381216049194336,2.1381216049194336,0.0,True
48,49,251,NFATC2,2.135010004043579,2.135010004043579,0.0,True
49,50,253,IKZF2,2.13083553314209,2.13083553314209,0.0,True
50,51,255,MXD4,2.1288866996765137,2.1288866996765137,0.0,True
51,52,256,JUND,2.120943784713745,2.866398334503174,0.37272727489471436,True
52,53,282,ATF3,2.034945487976074,2.034945487976074,0.0,True
53,54,284,MAFF,2.0301991403102875,2.448380947113037,0.20909090340137482,True
54,55,287,SPIB,2.025911331176758,2.025911331176758,0.0,True
55,56,291,HOXB4,2.016796112060547,2.016796112060547,0.0,True
56,57,297,CEBPB,2.0037410259246826,2.0037410259246826,0.0,True
57,58,305,NFKB1,1.9755148887634277,1.9755148887634277,0.0,True
58,59,312,SOX4,1.956215739250183,1.956215739250183,0.0,True
59,60,314,ETS2,1.9558099508285522,1.9558099508285522,0.0,True
60,61,321,MAFK,1.9230259656906128,2.795753240585327,0.4363636374473572,True
61,62,344,REL,1.8874790668487549,1.8874790668487549,0.0,True
62,63,359,RELB,1.8632018566131592,1.8632018566131592,0.0,True
63,64,360,IRF4,1.853982925415039,3.5812556743621826,0.8636363744735718,True
64,65,366,LEF1,1.8313117027282715,1.8313117027282715,0.0,True
65,66,374,ZNF618,1.8135350942611694,1.8135350942611694,0.0,True
66,67,381,DMRTA2,1.7969377040863037,1.7969377040863037,0.0,True
67,68,382,OLIG3,1.7969377040863037,1.7969377040863037,0.0,True
68,69,387,MAFG,1.7860309481620789,2.5678491592407227,0.3909091055393219,True
69,70,397,ZNF404,1.765202283859253,1.765202283859253,0.0,True
70,71,406,NEUROG1,1.7500460147857666,1.7500460147857666,0.0,True
71,72,408,DMTF1,1.7447530031204224,1.7447530031204224,0.0,True
72,73,425,ETV4,1.725195050239563,1.725195050239563,0.0,True
73,74,428,ARHGAP35,1.7226486206054688,1.7226486206054688,0.0,True
74,75,430,CEBPD,1.7194955348968506,1.7194955348968506,0.0,True
75,76,437,SNAI1,1.7090537548065186,1.7090537548065186,0.0,True
76,77,438,ZIM3,1.7048815488815308,1.7048815488815308,0.0,True
77,78,444,RORC,1.6885285377502441,1.6885285377502441,0.0,True
78,79,468,DMRTA1,1.6514458656311035,1.6514458656311035,0.0,True
79,80,474,ZIM2,1.6477153301239014,1.6477153301239014,0.0,True
80,81,483,ATF4,1.6249210834503174,1.6249210834503174,0.0,True
81,82,500,TFAP2C,1.5942814350128174,1.5942814350128174,0.0,True
82,83,511,HINFP,1.577932357788086,1.577932357788086,0.0,True
83,84,513,STAT1,1.5685645639896393,1.7867463827133179,0.1090909093618393,True
84,85,515,STAT4,1.566515326499939,1.566515326499939,0.0,True
85,86,517,EGR1,1.5630402397364378,1.5812220573425293,0.00909090880304575,True
86,87,525,STAT5A,1.5509317517280579,2.2600226402282715,0.3545454442501068,True
87,88,528,ZNF195,1.544088363647461,1.544088363647461,0.0,True
88,89,537,JDP2,1.5213518142700195,1.5213518142700195,0.0,True
89,90,538,FOXC1,1.5200766324996948,1.5200766324996948,0.0,True
90,91,541,CEBPE,1.5170578956604004,1.5170578956604004,0.0,True
91,92,545,SPI1,1.5108903646469116,2.583617687225342,0.5363636612892151,True
92,93,555,NKX3-2,1.491512417793274,1.491512417793274,0.0,True
93,94,568,FOXC2,1.4652504920959473,1.4652504920959473,0.0,True
94,95,571,RUNX2,1.4556634426116943,1.4556634426116943,0.0,True
95,96,588,SATB2,1.417335033416748,1.417335033416748,0.0,True
96,97,594,ETS1,1.409929245710373,1.700838327407837,0.145454540848732,True
97,98,595,MYBL2,1.4071934223175049,1.4071934223175049,0.0,True
98,99,600,ATOH1,1.3827714920043945,1.3827714920043945,0.0,True
99,100,610,PAX9,1.368153691291809,1.368153691291809,0.0,True
100,101,622,GFI1,1.3416112661361694,1.3416112661361694,0.0,True
101,102,627,TP53,1.3343687057495117,1.3343687057495117,0.0,True
102,103,637,MYC,1.3125667572021484,1.3125667572021484,0.0,True
103,104,641,ZNF44,1.3085792064666748,1.3085792064666748,0.0,True
104,105,643,ZNF501,1.304011583328247,1.304011583328247,0.0,True
105,106,644,ZNF629,1.304011583328247,1.304011583328247,0.0,True
106,107,645,ZNF763,1.3040114641189575,1.3040114641189575,0.0,True
107,108,647,SMAD4,1.3028168678283691,1.3028168678283691,0.0,True
108,109,651,ZNF260,1.3002216815948486,1.3002216815948486,0.0,True
109,110,654,MBD3,1.2975780963897705,1.2975780963897705,0.0,True
110,111,657,HOXC4,1.2949905395507812,1.2949905395507812,0.0,True
111,112,662,HOXC5,1.284249186515808,1.284249186515808,0.0,True
112,113,686,PIN1,1.2450844049453735,1.2450844049453735,0.0,True
113,114,707,HOXD4,1.211545705795288,1.211545705795288,0.0,True
114,115,715,SOX3,1.199726939201355,1.199726939201355,0.0,True
115,116,725,PRDM2,1.1783798933029175,1.1783798933029175,0.0,True
116,117,730,BCL6B,1.170964002609253,1.170964002609253,0.0,True
117,118,731,ZNF304,1.1706870794296265,1.1706870794296265,0.0,True
118,119,742,SPIC,1.1533488035202026,1.1533488035202026,0.0,True
119,120,744,SMAD3,1.1450074911117554,1.1450074911117554,0.0,True
120,121,754,HOXB5,1.1264172792434692,1.1264172792434692,0.0,True
121,122,781,ZEB1,1.068110466003418,1.068110466003418,0.0,True
122,123,786,ZFP42,1.0569519996643066,1.0569519996643066,0.0,True
123,124,789,ZNF436,1.0556584596633911,1.0556584596633911,0.0,True
124,125,806,HOXC6,1.0289450883865356,1.0289450883865356,0.0,True
125,126,820,GFI1B,1.0054821968078613,1.0054821968078613,0.0,True
126,127,828,PAX1,0.9884333610534668,0.9884333610534668,0.0,True
127,128,829,NFYC,0.9877839684486389,0.9877839684486389,0.0,True
128,129,840,PRDM16,0.9649604558944702,0.9649604558944702,0.0,True
129,130,841,HOXB7,0.963716983795166,0.963716983795166,0.0,True
130,131,848,EGR4,0.9545000791549683,0.9545000791549683,0.0,True
131,132,859,GRHL2,0.9197388887405396,0.9197388887405396,0.0,True
132,133,860,FOS,0.9184045791625977,2.2274954319000244,0.6545454263687134,True
133,134,861,TWIST1,0.9173490405082703,0.9173490405082703,0.0,True
134,135,862,ZNF582,0.9162580966949463,0.9162580966949463,0.0,True
135,136,864,HOXB6,0.9145214557647705,0.9145214557647705,0.0,True
136,137,873,HOXA6,0.8890566825866699,0.8890566825866699,0.0,True
137,138,875,CENPX,0.8884077072143555,0.8884077072143555,0.0,True
138,139,876,UBP1,0.8868911266326904,0.8868911266326904,0.0,True
139,140,877,TTF1,0.8850589394569397,0.8850589394569397,0.0,True
140,141,881,SOX1,0.8780834674835205,0.8780834674835205,0.0,True
141,142,885,E2F3,0.8695424795150757,0.8695424795150757,0.0,True
142,143,890,SP6,0.8549589514732361,0.8549589514732361,0.0,True
143,144,895,NFE2L2,0.8414232730865479,0.8414232730865479,0.0,True
144,145,909,NR3C1,0.8099652528762817,0.8099652528762817,0.0,True
145,146,910,HIF1A,0.8077507615089417,0.8077507615089417,0.0,True
146,147,921,HNF4G,0.7819502353668213,0.7819502353668213,0.0,True
147,148,923,TFDP1,0.7796071767807007,0.7796071767807007,0.0,True
148,149,926,CEBPG,0.7741955518722534,0.7741955518722534,0.0,True
149,150,929,E4F1,0.770858883857727,0.770858883857727,0.0,True
150,151,949,ZBTB32,0.7296921610832214,0.7296921610832214,0.0,True
151,152,950,ZNF131,0.7288094758987427,0.7288094758987427,0.0,True
152,153,954,SNAI3,0.7223336696624756,0.7223336696624756,0.0,True
153,154,972,BCL11B,0.6977587342262268,0.6977587342262268,0.0,True
154,155,975,USF2,0.6930795907974243,0.6930795907974243,0.0,True
155,156,983,HOXD9,0.6856594681739807,0.6856594681739807,0.0,True
156,157,991,CENPS,0.6688551902770996,0.6688551902770996,0.0,True
157,158,992,NFATC1,0.6677898168563843,0.6677898168563843,0.0,True
