"","Perturbation","Group"
"1","CXCL12_Gain","Negative"
"2","P2RY14_Gain","Negative"
"3","ITPKA_Gain","Negative"
"4","MUC1_Gain","Negative"
"5","INPPL1_Gain","Negative"
"6","ARHGDIB_Gain","Negative"
"7","GRAP_Gain","Negative"
"8","SLA2_Gain","Negative"
"9","LAT2_Gain","Negative"
"10","MAP4K1_Gain","Negative"
"11","JMJD1C_Gain","Negative"
"12","APOBEC3C_Gain","Negative"
"13","EOMES_Gain","Negative"
"14","PDCD1_Gain","Negative"
"15","MS4A3_Gain","Negative"
"16","LAG3_Loss","Negative"
"17","CD3D_Loss","Negative"
"18","LCP2_Loss","Negative"
"70","CD5_Loss","Effect"
"71","NOTCH1_Gain","Effect"
"72","LCP2_Gain","Effect"
"73","TNFRSF12A_Gain","Effect"
"74","DEF6_Gain","Effect"
"75","WT1_Gain","Effect"
"76","BTLA_Loss","Effect"
"77","PRDM13_Gain","Effect"
"78","NLRC3_Gain","Effect"
"79","EMP3_Gain","Effect"
"80","DEPDC7_Gain","Effect"
"81","LAT_Gain","Effect"
"82","CD2_Gain","Effect"
"83","TNFRSF1A_Gain","Effect"
"84","TNFRSF1B_Gain","Effect"
"85","OTUD7A_Gain","Effect"
"86","EMP1_Gain","Effect"
"87","TAGAP_Gain","Effect"
"88","IL9R_Gain","Effect"
"89","LTBR_Gain","Effect"
"90","CD27_Gain","Effect"
"91","TNFRSF9_Gain","Effect"
"92","FOXQ1_Gain","Effect"
"93","OTUD7B_Gain","Effect"
"94","RAC2_Gain","Effect"
"95","CD28_Gain","Effect"
"96","VAV1_Gain","Effect"
"97","TNFRSF9_Loss","Effect"
"98","FOSL1_Gain","Effect"
"99","ARID1A_Loss","Effect"
"100","DGKZ_Loss","Effect"
"101","APOBEC3D_Gain","Effect"
"102","PLCG2_Gain","Effect"
"103","CDKN1B_Loss","Effect"
"104","TBX21_Gain","Effect"
"105","CD247_Gain","Effect"
"106","CEACAM1_Gain","Effect"
"107","TRIM21_Gain","Effect"
"108","CLIC1_Gain","Effect"
"109","LHX4_Gain","Effect"
"110","CBY1_Gain","Effect"
"111","LHX6_Gain","Effect"
"112","HELZ2_Gain","Effect"
"113","MGST3_Gain","Effect"
"114","BICDL2_Gain","Effect"
"115","IL2RG_Gain","Effect"
"116","IL7R_Gain","Effect"
"117","PIK3AP1_Gain","Effect"
"118","AKAP12_Gain","Effect"
"119","FOXL2NB_Gain","Effect"
"120","PRKD2_Gain","Effect"
"121","TCEB2_Loss","Effect"
"122","APOL2_Gain","Effect"
"123","NO_Gain","Effect"
"124","ALX4_Gain","Effect"
"125","C10orf54_Loss","Effect"
"126","NFYB_Gain","Effect"
"127","TNFRSF10B_Gain","Effect"
"128","ZNF830_Gain","Effect"
"129","TMEM222_Loss","Effect"
"130","STAT6_Loss","Effect"
"131","CTLA4_Gain","Effect"
"132","PDCD1_Loss","Effect"
"19","IL1R1_Gain","Prolife"
"20","FOXD2_Gain","Prolife"
"21","MEF2D_Loss","Prolife"
"22","DGKA_Loss","Prolife"
"23","RELA_Gain","Prolife"
"24","TRAF3IP2_Gain","Prolife"
"25","SOCS1_Loss","Prolife"
"26","AKR1C4_Gain","Prolife"
"27","CDK2_Gain","Prolife"
"28","GPN3_Gain","Prolife"
"29","PAPOLG_Gain","Prolife"
"30","RASA2_Loss","Prolife"
"31","CRLF2_Gain","Prolife"
"32","MRPL18_Gain","Prolife"
"33","BATF_Gain","Prolife"
"34","FOSB_Gain","Prolife"
"35","DUPD1_Gain","Prolife"
"36","CBLB_Loss","Prolife"
"37","RAN_Gain","Prolife"
"38","CNR2_Gain","Prolife"
"39","CYP27A1_Gain","Prolife"
"40","GPD1_Gain","Prolife"
"41","CALML3_Gain","Prolife"
"42","IFNL2_Gain","Prolife"
"43","HAVCR2_Loss","Prolife"
"44","CDK1_Gain","Prolife"
"45","ATF6B_Gain","Prolife"
"46","AHNAK_Gain","Prolife"
"47","AHCY_Gain","Prolife"
"48","TCF7_Gain","Prolife"
"49","IL2RB_Gain","Prolife"
"50","FAS_Gain","Prolife"
"51","SOD1_Gain","Prolife"
"52","HAVCR2_Gain","Prolife"
"53","TGFBR2_Gain","Prolife"
"54","MRPL51_Gain","Prolife"
"55","IL2RA_Gain","Prolife"
"56","IL1RN_Gain","Prolife"
"57","TIGIT_Gain","Prolife"
"58","IL10RA_Gain","Prolife"
"59","IL12B_Gain","Prolife"
"60","ITM2A_Gain","Prolife"
"61","SLC10A7_Gain","Prolife"
"62","DBI_Gain","Prolife"
"63","ADA_Gain","Prolife"
"64","GATA3_Gain","Prolife"
"65","CD200R1_Gain","Prolife"
"66","ABCB10_Gain","Prolife"
"67","BTLA_Gain","Prolife"
"68","IKZF3_Gain","Prolife"
"69","CCR10_Gain","Prolife"
