"","Embedding_1","Embedding_2","Embedding_3","Embedding_4","Embedding_5","Embedding_6","Embedding_7","Embedding_8","Embedding_9","Embedding_10","Embedding_11","Embedding_12","Embedding_13","Embedding_14","Embedding_15","Embedding_16","Embedding_17","Embedding_18","Embedding_19","Embedding_20","Embedding_21","Embedding_22","Embedding_23","Embedding_24","Embedding_25","Embedding_26","Embedding_27","Embedding_28","Embedding_29","Embedding_30"
"ABCB10_Gain",0.0038662375697237,-0.0152873614716609,-0.0107137719477644,0.000551640592663493,0.00100500195206988,-0.0346519728468743,-0.0156958609918095,-0.00551351735874122,-0.00963903039644491,0.0108751631681098,0.0360239955985191,0.0488060726013207,-0.00516143791525569,-0.0120828792403471,-0.0128065725628114,0.00482107274579686,0.00950544223880136,0.0168786529969695,-0.0241302091764002,-0.00701677051699714,0.0132962243249085,0.00106476691384979,0.018167735194627,-0.00483086724944462,-0.00155001634497516,-0.00139627640215766,-0.0237013701571534,-0.00582995724599093,0.0172976580824678,-0.0143596649860704
"ADA_Gain",-0.000623398186529384,-0.00730672973098562,0.0121088207644575,0.0121662704383626,0.00556816051111502,0.00485540049917558,-0.0107916182674029,0.0146237081464599,-0.0113841066246524,-0.021223787447739,0.0342314492582398,0.0302435399909668,-0.0161410262260367,0.0158635973930359,-0.00797720089116517,-0.0088955093832577,-0.0120313185102799,0.000650607487734626,-0.0144607766586192,-0.016681356848601,0.0444228118833374,0.000262735740226858,0.0127632766962051,0.0216576001223396,0.0134193950935322,-0.0146329822566579,0.015943434308557,0.0286318369428901,0.0215915051453254,-0.00348121486604214
"AHCY_Gain",-0.00144623620535738,-0.00527664636492088,0.0151864077935937,0.0120495400762045,-0.0135953912651667,-0.0234721745214155,0.0242845972058594,0.00527853400556631,0.00111640356881644,0.00469836228782491,0.0118083900581765,0.00960502925739493,0.000366223795760062,0.00134958701348433,-0.0121171541952638,-0.0107448297723006,0.00751963065516564,0.0169349231066242,-0.0170133897774322,-0.0160233394633378,0.0239602505199371,0.00838305010029706,0.0131299952746079,0.00241371444476548,0.00198672155058512,-0.0119389902039241,0.0138002504264155,0.00762818104797794,0.0081525426558269,-0.00760275251682728
"AHNAK_Gain",-0.00880130735987967,-0.00122338411059569,0.0195571184835651,0.00434903502464294,-0.012926594438878,-0.00517951703884385,0.030429004539143,0.00782419090921229,0.00363476137545976,-0.00263098846930502,0.00842801171608946,0.0121712514622645,-0.00046522238037803,-0.000291354158385233,-0.00806768446822058,-0.0158990875902501,-0.0033021095124158,0.0201351282271472,-0.0137480299242518,-0.00655600366775285,0.0059972191398794,0.00931102726608515,0.00740953280844472,0.00444453737952492,0.00110953683880242,-0.0182200991971926,0.000165475904941559,0.00395774539898742,0.00108838149092414,-0.00765517558055845
"AKAP12_Gain",0.00411188614180708,-0.00658479752019048,0.00643997648217547,0.011766998082634,-0.0276796992384191,-0.0197346955537796,-0.0171161965122373,0.00411274876650863,0.00515514847595157,0.0206461415926772,0.0428696114305905,0.0169439083331917,0.0190568188513358,-0.00801375209111867,-0.0372943346073308,-0.0119775027681993,0.0481167266688009,0.0147814833390431,-0.0484257551408776,-0.0023376056117805,-0.000833738272584329,0.0249308767163847,0.00960607468847215,-0.0364856708237505,-0.00231315242493246,-0.0300248074895284,-0.0235707809136608,-0.0106912802054187,0.00516285038897841,0.00646822993445584
"AKR1C4_Gain",-0.0206046708460365,0.000646822769860072,0.00366627584610667,0.0472002075541587,-0.00602777408702033,-0.023118582775905,0.0203169628622986,0.00586846555095343,0.00984605499321506,0.00771522334045065,0.0141758319611351,-0.0161068404337303,0.0109211945728887,-0.0430181621174727,0.0131908365791397,-0.0126124377850266,0.0197382973773139,0.0317777232045219,-0.0240387565323285,-0.00702760602524948,-0.00114077427202747,0.0216908388815465,-0.0129367598731603,0.00285374834423973,0.0119354093802117,-0.0400169688676085,0.0134179244438807,-0.0313496243297344,-0.0115109114419846,-0.00618199280108369
"ALX4_Gain",-0.00630127990538357,0.0128408942851552,-0.059939791499837,0.0220221895381717,0.00904786443349225,0.00465243364587152,-0.0238658878609447,-0.0175317214241971,0.003563676103721,0.00653796297915143,-0.0100038086572673,0.000654382848300817,-0.00484397801702008,-0.0294418869300123,0.0271072251025153,0.0149342666660076,0.00537125752564588,-0.0212942460563285,0.00214975858050073,0.0129532706552397,-0.0334050492183562,-0.00896161680389767,-0.0257536759999998,-0.0133264112326265,-0.0115289483562203,0.00372056745312697,-0.0327266653074077,-0.0423502994278457,-0.0053799249048979,0.0057220620908803
"APOBEC3C_Gain",0.00501339512054252,0.0153650227717306,0.0578229732062451,-0.0143843427221611,0.0222503020718851,0.0541795256040084,0.057523079689533,0.00210991858568772,0.000992677046390122,-0.0221240389008055,-0.0408926773520689,-0.00744140358079994,-0.0109237490428819,0.026298791347515,0.0260142868867627,0.0305849422636644,-0.0391169403280531,-0.00386343884562689,0.0365956615380667,-0.0112220777996949,-0.0342232501380658,0.000151634571098146,-0.0123221971705635,0.00416225147625757,0.0385604846099066,0.0196648729501893,0.00537025352949819,0.0410537054299047,-0.010265084259488,0.0103875173541604
"APOBEC3D_Gain",0.00741879395967306,0.00924601113033849,0.0992103325073109,-0.0154266103755596,0.0157505813119716,0.0571400890170142,0.069437973929006,0.0135256578929202,0.0144629228990092,-0.0255222090974797,-0.0189690394197093,-0.0298383910728748,0.00672230779431587,0.0194498704789683,0.0178231352290442,0.017170968790387,-0.00339861803276594,0.023829964392407,0.00795483539357435,-0.0243888869448457,-0.0301520785966585,0.0226766459470571,-0.00386323616081892,-0.00753530762916388,0.0403258289881917,-0.0211930602962194,0.0317304909229279,0.0569517956743407,-0.0174875834826813,0.0128097166675468
"APOL2_Gain",-0.0022782695934523,-0.00055585763698747,0.0125624481588602,0.00424739683783332,0.0218180538328408,0.0200591000273477,-0.00955682338843512,-0.00176786699570542,0.00213466112523578,-0.00391159197965334,-0.0130998506779284,-0.00179343891524991,0.0016379390171794,-0.00592044522162787,0.0139899499887644,0.00920705581733654,-0.00280590446362662,-0.00896960245661957,0.012323324709351,0.00948252434826045,9.28364001041235e-05,0.00994123232572578,-0.00839745672419667,-0.0097687947888707,0.0187253292953206,0.024665390033015,0.00799653471209282,-0.01041787663518,-0.00476883895435305,0.00926395902020294
"ARHGDIB_Gain",0.0412021280355649,-0.0128538142613318,-0.0605660378932953,-0.0201361212011886,0.0243472615044275,-0.0407317031821296,-0.0179772217115855,-0.0258371391371913,-0.0187860161712453,0.0194053361490029,0.0508905182843475,0.0797265327395233,-0.0380635860303766,-0.00934356638149584,-0.0168536538811035,0.0408165613827232,0.00174741198619207,-0.0394907109269268,-0.00351116521343521,0.0239303490427667,-0.0466713416283806,-0.0202284250153254,0.00424292664039353,-0.0358604845935351,0.012267332626124,0.0121341373380189,-0.0443751129521627,-0.00798315282689926,0.0275747314027455,-0.00401093792085234
"ARID1A_Loss",0.00271165253718694,-0.00478013072411219,0.0169674855818351,-0.0063194211324056,-0.00791644110282262,-0.00427082199851672,-0.00178763543566068,0.00352140049139659,-0.00134770155946414,0.0033008954624335,0.0124177716324727,-0.00482171316941579,0.00445823623736699,0.00216027271747589,-0.00528503229220708,-0.00527547018726667,0.0137370536327362,0.00675851500034332,-0.0128491598467032,0.0020165188908577,-0.00355430771534642,0.009047023832798,0.00212145525217056,-0.00184984715779622,0.000741845001777013,-0.00801575024922689,0.00448744058609009,0.0075491703748703,-0.00885398538907369,0.00504064024239778
"ATF6B_Gain",0.00326615763718591,-0.0029195135952357,0.0291242915041306,0.00600470777820138,0.00220578109078548,0.00265874669832342,0.00146021518637152,0.00844239939332885,0.00776811722008621,0.0015650835035451,0.031750423806336,0.00750434793093625,0.00859847637441228,-0.012313976062133,-0.0109878327861867,-0.0108072786756298,0.0210722566527479,0.0274408025776639,-0.0281785922672819,-0.011263796580298,0.0134381853482303,0.0157294058898354,0.00672548406702631,0.00747711342923781,0.000286218381541617,-0.0213572467293809,-0.00268894850331194,0.00759552293183172,0.0116030958426349,-0.00279758680228363
"BATF_Gain",-0.00490406174212694,0.00274158756714314,0.0308643864095211,0.0163839885592461,-0.00644692614674568,-0.0047192919254303,0.0222335486859083,0.00660829834640026,0.00923960167914629,0.0017624753259588,0.0153993877395988,-0.00910944508388638,0.00501496728509665,-0.0162041158229113,0.0022223256714642,-0.0195912349969149,0.00424846768379211,0.0320172753930092,-0.0178813452273607,-0.0145473523344845,0.0132541947066784,0.0191750681214035,0.000526752881705761,-0.0051096498966217,0.00641156461089849,-0.0230102022737265,0.000260092616081238,-0.00990088883787394,-0.00269686169922352,-0.00183672978542745
"BICDL2_Gain",-0.0144525864641136,0.0131764586092873,0.0143878601887495,0.00469336874065209,0.00996154280026688,0.00629206234434514,-0.0131306952465808,-0.00579145371889157,0.00989347835229184,-0.000304998755702545,-0.0106797821361856,-0.0229674625114547,0.0154332759421925,-0.0253322558397074,0.019123163334159,0.0208260412776589,0.0354074019926331,-0.00258385305883877,-0.002524643359811,0.0113455739701507,-0.0448249861895048,0.0160065284153552,-0.0232173081586428,-0.0465505369675912,0.0100870889138146,-0.00754118553576279,-0.00976354908507528,-0.0155954450566903,-0.0197505068058686,0.0130777311235963
"BTLA_Gain",-0.0173431078835232,0.0120884728595251,-0.0182279441687392,-0.00554698996427583,-0.00831899533911449,-0.0081816383160469,-0.00798664684577777,-0.00151438642202354,0.00863770227879286,-0.000666413560691403,-0.0105871485500801,-0.00170108763183035,0.00689391036767785,-0.0138871703569482,0.00616805077326007,0.00386837669988958,0.0159848559193495,-0.00443871284766895,-0.00616116225719452,-0.00997885509007951,-0.0236132622673744,0.00272207332820427,-0.0077461566140012,-0.00489416413190888,-0.0031505237265331,-0.0214530614488645,-0.0123676846667034,0.00113863656070174,0.00456726649185506,0.00654279845880299
"BTLA_Loss",-0.00577736506521485,-0.000371486555110496,0.0153909306860057,0.00828885593941551,-0.00531719019353607,0.00197342673219279,-0.00417301035005224,0.0032680757266819,0.00481924197137501,0.00136678684887591,0.00238580551826795,-0.0121307724120405,0.0101335427179516,-0.00530813254171559,-0.00163050596110007,-0.0022130619195875,0.00977884046507056,0.00738068756037465,-0.0080631625038523,-0.000232558018490581,0.00416026334306576,0.0132040860785459,-0.00159226051947036,-0.00219193473910938,0.00218384566502974,-0.00348054212976342,0.00573180999747169,-0.00175664534980153,-0.00532104634427503,0.00749930236737537
"C10orf54_Loss",0.00279585941280246,-0.00161968386917083,0.00791636554062464,-0.000945832684318029,0.0003238347021034,-0.000523054690906175,-0.00333983969548947,0.0013438956552049,0.00396367714530827,0.00504728235848774,0.00232536099814429,0.00150258180934612,0.0038653768366585,0.00365383012835028,-0.00182484193094845,-0.00237015457992092,-8.68283811656908e-05,0.000336315440035414,-0.000929862536086238,-0.00548993241904404,0.00398918653246511,9.26937742773535e-05,0.00107021533160766,-0.00120138662006272,0.00370463262478804,-0.0030511878797867,8.7719392306699e-05,0.00327296968555607,0.00265641240112496,-0.00270218994431748
"CALML3_Gain",-0.00517075677236466,-0.0016908037527273,0.034901426467177,0.0106488992906597,-0.00496307760477066,0.0179048153023197,0.0020699192808099,0.0082833942995496,0.00734984736940632,-0.00488563759207777,0.0117318940489259,0.000285947465733306,0.00711622420851498,-0.000783263003989442,-0.00503995052653633,-0.0121997842335538,-0.000395318416699971,0.0150633021576764,-0.0108366875513776,-0.00965199004603575,0.0262006301790068,0.0158526532045782,0.00812512625978418,0.014132656463205,0.00761028185282668,-0.000483383054602636,0.0126307010650635,0.0148540383638584,0.00264266480321754,0.00327071917485701
